action_id,action_title,sector,city,short_description,long_description,target_group,implementation_owner,partners,indicative_cost,timeline,status,scale_up_potential,tags,source_lap,display_order
COM-01,Municipal Refugee Focal Point,Governance & Coordination,Comrat,"A formally designated focal point in City Hall serving as the single entry point for refugee-related matters, referrals and complex cases.","Designate a municipal Refugee Focal Point who understands the legal framework, rights and procedures applicable to refugees and Temporary Protection holders; maintains up-to-date information on needs; makes referrals across departments and national institutions; supports complex cases; and anchors municipal leadership in the Local Refugee Coordination Forum.","Refugees, TP holders and municipal departments",Comrat City Hall,UNHCR; LRCF partners; MLSP,Low (staff time + training),2026 — quick start,investment-ready,High — replicable in any municipality at low cost,governance;referrals;coordination,Comrat Local Action Plan for Refugee Inclusion (2026),1
COM-02,Integrated Community Care,Social Protection & Care,Comrat,"Home-based care, facility upgrades and a trained buddy network for older residents, persons with disabilities and isolated households.","Upgrade local care by linking facility improvements with home-based support and trained volunteers. Social workers, nurses and community buddies provide home visits, well-being checks, medication support, food access and companionship. Responds to Comrat's ageing caseload: 27.9% of surveyed members are aged 60+ and 45.6% of households report a chronic condition.","Older persons, persons with disabilities, single caregivers",Comrat Social Assistance Directorate,HelpAge; NGOs; volunteers; UNHCR,Medium,"2026–2027, phased",investment-ready,High — model transferable to other ageing districts,care;health;home visits;older persons,Comrat Local Action Plan for Refugee Inclusion (2026),2
COM-03,Telemedicine & Health Workforce Housing,Health,Comrat,"Service housing to attract and retain medical staff, paired with a telemedicine point connecting patients to specialists.","Strengthen local healthcare capacity by attracting doctors, nurses and specialists — including qualified refugee professionals where legally possible — through service housing and recruitment support, while equipping a telemedicine point in the polyclinic to connect complex cases to specialists in larger cities and reduce unnecessary travel.",All residents; patients with complex or chronic conditions,Comrat City Hall + district health authorities,Ministry of Health; development partners,Medium–high (works + equipment),2026–2028,concept,Medium — depends on national health workforce policy,health;telemedicine;workforce;housing,Comrat Local Action Plan for Refugee Inclusion (2026),3
COM-04,Talent & Opportunity Fund,Education & Childcare,Comrat,"Scholarships and stipends for refugee and vulnerable local students, linked to service-learning such as tutoring younger pupils.","Partner with Comrat State University, colleges and vocational institutions to provide scholarships or stipend top-ups combining academic potential with vulnerability. Recipients commit to service-learning — tutoring, learning-hub support — creating a self-sustaining loop between higher education and community learning support.",Refugee and vulnerable local youth and students,Comrat City Hall + Comrat State University,Universities; colleges; donors; UNHCR,Low–medium (fund size dependent),Academic year 2026/27 onward,pilot,High — scalable fund model; replicable per city,education;scholarships;youth;service learning,Comrat Local Action Plan for Refugee Inclusion (2026),4
COM-05,Public Space Revitalization,Housing & Infrastructure,Comrat,Upgrades to underused public spaces and civic infrastructure serving refugee and host neighbourhoods alike.,"Revitalize underused urban land, public spaces and civic infrastructure — lighting, green space, safe routes, seating, play areas — in neighbourhoods where needs concentrate. Investments upgrade shared spaces used by all residents rather than creating separate refugee facilities, and can incorporate energy-efficient and nature-based solutions.",All residents of targeted neighbourhoods,Comrat City Hall (urban planning),Development partners; contractors; community groups,Medium–high,"2026–2028, phased by site",investment-ready,High — bankable as part of regional public-works packages,infrastructure;public space;urban,Comrat Local Action Plan for Refugee Inclusion (2026),5
COM-06,Social Mobility Service,Mobility,Comrat,"A social taxi and community shuttle providing accessible, low-cost mobility for older persons, persons with disabilities and students.","Establish a targeted municipal mobility service complementing regular transport: an accessible social-taxi vehicle for on-demand medical and social trips, plus a scheduled community shuttle linking peripheral neighbourhoods to schools, clinics and services. Provides universal mobility for refugees and local residents, with simple eligibility linked to social assistance.","Older persons, persons with disabilities, students, low-income households",Comrat City Hall + Social Assistance,NGOs; transport operators; donors,Medium (vehicle + operations),"2026 pilot, 2027 scale",pilot,Medium–high — operating model replicable across raions,mobility;social taxi;accessibility,Comrat Local Action Plan for Refugee Inclusion (2026),6
COM-07,Municipal Social Rental Agency,Housing & Infrastructure,Comrat,"A municipal mechanism connecting vulnerable tenants with private landlords: unit registry, lease formalization, mediation and a small guarantee fund.","Create a Social Rental Agency that recruits property owners, maintains a registry of affordable units, formalizes leases and mediates disputes, with a small guarantee fund covering deposits and minor repairs. Responds to widespread informal tenure (57.5% of surveyed households lack a formal lease) and makes the private rental market safer for tenants and landlords alike.",Refugee and vulnerable local tenants; private landlords,Comrat City Hall,UNHCR; NGOs; landlord associations,Medium,2026–2027,investment-ready,High — core model for inter-municipal housing pipeline,housing;rental;tenure;formalization,Comrat Local Action Plan for Refugee Inclusion (2026),7
COM-08,Agri-Social Hub,Food Security & Livelihoods,Comrat,"A community garden and greenhouse, community kitchen and periodic eco-market combining food security, skills and social cohesion.","Develop an agri-food and social inclusion hub where refugees and local residents grow produce, prepare meals, support a social canteen function and sell selected products through a periodic eco-market. Links food security, practical skills, local producer visibility and everyday interaction in one package, and can enhance climate resilience along the Yalpug river corridor.",Vulnerable households; small producers; community members,Comrat City Hall + partner NGO,NGOs; agricultural college; donors,Medium,"2027, seasonal phasing",concept,Medium — components replicable; site-specific design,food security;livelihoods;community;green,Comrat Local Action Plan for Refugee Inclusion (2026),8
COM-09,Mixed-Income PPP Housing,Housing & Infrastructure,Comrat,"Public-private partnership housing on municipal land, reserving a share of units for vulnerable local and refugee families.","Develop mixed-income affordable housing through partnership with private developers and development finance: the municipality contributes land or an unused asset and infrastructure connections; private partners finance construction. A share of units is reserved for vulnerable households while other units cross-subsidize operations, bundling energy efficiency and maintenance obligations into the PPP contract.",Vulnerable local and refugee families; municipal housing stock,Comrat City Hall,Private developers; IFIs; national authorities,High (blended finance),"2027–2029, preparation first",concept,High — flagship for aggregated IFI investment across cities,housing;PPP;investment;energy efficiency,Comrat Local Action Plan for Refugee Inclusion (2026),9
COM-10,Green Public Works,Livelihoods & Employment,Comrat,"Short-term paid public works — greening, river corridor cleanup, public-space upkeep — with fair wages and skills certificates.","Create short-term paid public-works and municipal internship opportunities for refugees and vulnerable locals: park maintenance, tree planting, cleanup of the Yalpug corridor, waste-separation pilots and public-space upkeep. Participants receive fair wages, safety training, certificates and referrals to longer-term employment, while the city gains visible environmental improvements.",Unemployed refugees and vulnerable local residents,Comrat City Hall (municipal services),Employment agency; NGOs; donors,Low–medium per cohort,"2026 onward, seasonal cohorts",pilot,High — cohort model easily repeated and scaled,employment;green jobs;public works,Comrat Local Action Plan for Refugee Inclusion (2026),10
COM-11,Women's Entrepreneurship Hub,Women's Economic Empowerment,Comrat,"Business training, mentoring, micro-grants and childcare-friendly formats helping refugee and local women start or grow micro-businesses.","Support refugee and local women to start or expand micro-businesses and social enterprises through training, mentoring, legal and start-up advice, micro-grants, buyer days and referrals to national SME instruments. Childcare-friendly formats respond directly to the caregiving barrier — around 25% of respondents cite care responsibilities as their main obstacle to work.",Refugee and local women entrepreneurs and jobseekers,Comrat City Hall + business incubator,ODIMM/national SME programmes; NGOs; UNHCR,Medium,2026–2028,investment-ready,High — hub model prepared for multi-city rollout,women;entrepreneurship;livelihoods;childcare,Comrat Local Action Plan for Refugee Inclusion (2026),11
